image_id,split,basin,source,centroid_lat,centroid_lon,extent_image,annotations_latlon,annotations_image
10,train,denver,label_crowdsource,40.0718929941695,-104.851235,"POLYGON ((-104.85239959030855 40.07100180623788, -104.85007040969143 40.07100180623788, -104.85007040969143 40.072784182101124, -104.85239959030855 40.072784182101124, -104.85239959030855 40.07100180623788))",[],[]
11,train,denver,label_crowdsource,40.08591999416901,-105.129602,"POLYGON ((-105.13076659030855 40.085028989804385, -105.12843740969143 40.085028989804385, -105.12843740969143 40.086810998533615, -105.13076659030855 40.086810998533615, -105.13076659030855 40.085028989804385))",[],[]
12,valid,denver,label_crowdsource,40.11579899416795,-104.702984,"POLYGON ((-104.70414859030858 40.11490838099858, -104.70181940969144 40.11490838099858, -104.70181940969144 40.116689607337335, -104.70414859030858 40.116689607337335, -104.70414859030858 40.11490838099858))",[],[]
13,train,denver,label_crowdsource,40.1172609941679,-104.872864,"POLYGON ((-104.87402859030855 40.11637040014618, -104.87169940969143 40.11637040014618, -104.87169940969143 40.11815158818961, -104.87402859030855 40.11815158818961, -104.87402859030855 40.11637040014618))",[],[]
14,train,denver,label_crowdsource,40.13648999416724,-104.803455,"POLYGON ((-104.80461959030855 40.13559965203978, -104.80229040969142 40.13559965203978, -104.80229040969142 40.13738033629468, -104.80461959030855 40.13738033629468, -104.80461959030855 40.13559965203978))",[],[]
15,test,denver,label_crowdsource,40.137754994167175,-104.614319,"POLYGON ((-104.61548359030856 40.13686466861438, -104.61315440969143 40.13686466861438, -104.61315440969143 40.138645319719984, -104.61548359030856 40.138645319719984, -104.61548359030856 40.13686466861438))",[],[]
16,train,denver,label_crowdsource,40.15221999416667,-104.53065,"POLYGON ((-104.53181459030857 40.151329858172176, -104.52948540969143 40.151329858172176, -104.52948540969143 40.15311013016117, -104.53181459030857 40.15311013016117, -104.53181459030857 40.151329858172176))",[],[]
17,valid,denver,label_crowdsource,40.15858199416646,-104.63742,"POLYGON ((-104.63858459030855 40.15769194156152, -104.63625540969143 40.15769194156152, -104.63625540969143 40.1594720467714, -104.63858459030855 40.1594720467714, -104.63858459030855 40.15769194156152))","[{'bbox': <POLYGON ((-104.638 40.159, -104.638 40.159, -104.638 40.159, -104.638 40.15...>}, {'bbox': <POLYGON ((-104.638 40.159, -104.638 40.159, -104.638 40.159, -104.638 40.15...>}, {'bbox': <POLYGON ((-104.638 40.159, -104.638 40.159, -104.638 40.159, -104.638 40.15...>}]","[{'bbox': [184.35815334669238, 5.0909091796875, 197.29066666666665, 18.432], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [201.728, 6.144, 214.69866666666667, 19.797333333333334], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [222.45867773004403, 4.437333333333333, 232.448, 13.653333333333332], 'bbox_mode': 0, 'category_id': 0}]"
18,train,denver,label_crowdsource,40.15893899416644,-104.61378100000002,"POLYGON ((-104.61494559030857 40.15804894624118, -104.61261640969144 40.15804894624118, -104.61261640969144 40.1598290420917, -104.61494559030857 40.1598290420917, -104.61494559030857 40.15804894624118))",[],[]
19,test,denver,label_crowdsource,40.187739994165455,-104.73655,"POLYGON ((-104.73771459030856 40.18685032388771, -104.73538540969142 40.18685032388771, -104.73538540969142 40.1886296644432, -104.73771459030856 40.1886296644432, -104.73771459030856 40.18685032388771))",[],[]
20,train,denver,label_crowdsource,40.203519994164914,-102.467449,"POLYGON ((-102.46861359030855 40.20263053089468, -102.46628440969144 40.20263053089468, -102.46628440969144 40.204409457435126, -102.46861359030855 40.204409457435126, -102.46861359030855 40.20263053089468))",[],[]
21,train,denver,label_crowdsource,40.20499699416485,-104.67134199999998,"POLYGON ((-104.67250659030854 40.204107550273875, -104.67017740969142 40.204107550273875, -104.67017740969142 40.20588643805583, -104.67250659030854 40.20588643805583, -104.67250659030854 40.204107550273875))",[],[]
22,train,denver,label_crowdsource,40.222101994164255,-105.016324,"POLYGON ((-105.01748859030856 40.22121277474566, -105.01515940969144 40.22121277474566, -105.01515940969144 40.222991213582866, -105.01748859030856 40.222991213582866, -105.01748859030856 40.22121277474566))",[],[]
23,test,denver,label_crowdsource,40.22253899416425,-105.051741,"POLYGON ((-105.05290559030857 40.22164978048152, -105.05057640969144 40.22164978048152, -105.05057640969144 40.22342820784697, -105.05290559030857 40.22342820784697, -105.05290559030857 40.22164978048152))",[],[]
24,train,denver,label_crowdsource,40.23642199416378,-104.82697400000002,"POLYGON ((-104.82813859030857 40.235532962730375, -104.82580940969144 40.235532962730375, -104.82580940969144 40.23731102559718, -104.82813859030857 40.23731102559718, -104.82813859030857 40.235532962730375))",[],[]
25,train,denver,label_crowdsource,40.25894699416301,-104.654974,"POLYGON ((-104.65613859030856 40.25805825853798, -104.65380940969143 40.25805825853798, -104.65380940969143 40.25983572978804, -104.65613859030856 40.25983572978804, -104.65613859030856 40.25805825853798))","[{'bbox': <POLYGON ((-104.654 40.259, -104.654 40.259, -104.654 40.259, -104.654 40.25...>}]","[{'bbox': [361.472, 328.704, 371.712, 338.944], 'bbox_mode': 0, 'category_id': 0}]"
26,valid,denver,label_crowdsource,40.28991299416195,-104.963313,"POLYGON ((-104.96447759030856 40.289024665420484, -104.96214840969144 40.289024665420484, -104.96214840969144 40.29080132290342, -104.96447759030856 40.29080132290342, -104.96447759030856 40.289024665420484))","[{'bbox': <POLYGON ((-104.963 40.29, -104.963 40.29, -104.964 40.29, -104.964 40.29, -...>}]","[{'bbox': [212.99200000000002, 186.368, 220.16, 193.536], 'bbox_mode': 0, 'category_id': 0}]"
27,train,denver,label_crowdsource,40.29326599416184,-104.63566799999997,"POLYGON ((-104.63683259030856 40.29237770949333, -104.63450340969142 40.29237770949333, -104.63450340969142 40.29415427883036, -104.63683259030856 40.29415427883036, -104.63683259030856 40.29237770949333))","[{'bbox': <POLYGON ((-104.636 40.293, -104.636 40.293, -104.636 40.293, -104.636 40.29...>}, {'bbox': <POLYGON ((-104.636 40.293, -104.636 40.293, -104.636 40.293, -104.636 40.29...>}]","[{'bbox': [146.43200000000002, 377.856, 155.648, 387.072], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [145.40800000000002, 404.48, 157.696, 416.76800000000003], 'bbox_mode': 0, 'category_id': 0}]"
28,train,denver,label_crowdsource,40.29462999416179,-104.56984,"POLYGON ((-104.57100459030855 40.29374172742301, -104.56867540969144 40.29374172742301, -104.56867540969144 40.29551826090057, -104.57100459030855 40.29551826090057, -104.57100459030855 40.29374172742301))",[],[]
29,test,denver,label_crowdsource,40.30501099416144,-102.417057,"POLYGON ((-102.41822159030856 40.30412286389709, -102.41589240969142 40.30412286389709, -102.41589240969142 40.3058991244258, -102.41822159030856 40.3058991244258, -102.41822159030856 40.30412286389709))",[],[]
30,train,denver,label_crowdsource,40.32349999416082,-104.49864,"POLYGON ((-104.49980459030854 40.32261210703539, -104.49747540969143 40.32261210703539, -104.49747540969143 40.324387881286256, -104.49980459030854 40.324387881286256, -104.49980459030854 40.32261210703539))",[],[]
31,valid,denver,label_crowdsource,40.374179994159135,-104.62244999999996,"POLYGON ((-104.62361459030855 40.37329277397318, -104.62128540969144 40.37329277397318, -104.62128540969144 40.37506721434509, -104.62361459030855 40.37506721434509, -104.62361459030855 40.37329277397318))","[{'bbox': <POLYGON ((-104.622 40.374, -104.622 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.374, -104.622 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.374, -104.622 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.622 40.375, -104.622 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.622 40.375, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.374, -104.622 40.374, -104.622 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.621 40.375, -104.621 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.621 40.375, -104.621 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.375, -104.621 40.375, -104.621 40.37...>}, {'bbox': <POLYGON ((-104.621 40.375, -104.621 40.374, -104.621 40.374, -104.621 40.37...>}]","[{'bbox': [424.5335443356034, 179.09499317370864, 438.72461594789326, 191.61539558892878], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [450.60878239664635, 179.0127580933272, 463.4843828844306, 192.26386844409242], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [412.78956658017705, 177.43468075378053, 422.5706666666666, 187.42320678209902], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [412.44787664059606, 102.36917850888764, 424.64901896520337, 115.37066666666665], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [411.9893333333333, 117.07793253131342, 424.8409262089434, 129.6687763241585], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [412.18633031462826, 132.1849888310812, 424.7775637401422, 144.3356123795752], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [411.9772946489429, 146.5487159990947, 424.96, 159.06133333333335], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [412.20379345683875, 161.1124011983848, 425.3013333333333, 173.73866666666666], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [429.2550295246246, 102.73286375203585, 441.61575026313545, 115.21501095225851], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [429.056, 117.15691115763225, 441.6853333333333, 129.51706163238563], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [428.8305454388277, 131.84513807432077, 441.7849291979661, 144.7734640559079], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [428.8204323107576, 146.432, 441.911674576244, 159.408908716738], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [429.07673961247883, 161.45066666666668, 441.8510824331369, 173.7386666666667], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [457.2198323025705, 117.3113054257761, 470.016, 129.98778527685073], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [456.96838755169773, 132.4503704727306, 469.6072326362675, 144.384], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [457.3338519243667, 147.02896631802398, 469.9576731348767, 159.40266666666668], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [457.47478929439006, 161.51341720896602, 469.89084674812364, 173.73866666666666], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [473.88933192659334, 117.11800506414998, 486.4361360269415, 129.80189583333333], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [474.1141174495232, 132.27714338788311, 486.53677945565767, 144.4906990046313], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [473.9035599927538, 146.9864781364709, 486.21409206459396, 159.40266666666668], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [474.2564052886767, 161.7186978083668, 486.4410209751613, 174.03370232759985], 'bbox_mode': 0, 'category_id': 0}]"
32,train,denver,label_crowdsource,40.38685999415872,-104.43356,"POLYGON ((-104.43472459030855 40.385972940947816, -104.43239540969144 40.385972940947816, -104.43239540969144 40.38774704736961, -104.43472459030855 40.38774704736961, -104.43472459030855 40.385972940947816))",[],[]
33,valid,denver,label_crowdsource,40.40129599415824,-104.820211,"POLYGON ((-104.82137559030856 40.40040913109896, -104.81904640969144 40.40040913109896, -104.81904640969144 40.40218285721751, -104.82137559030856 40.40218285721751, -104.82137559030856 40.40040913109896))",[],[]
34,train,denver,label_crowdsource,40.400999994158255,-104.89016999999998,"POLYGON ((-104.89133459030855 40.40011312719948, -104.88900540969142 40.40011312719948, -104.88900540969142 40.40188686111701, -104.89133459030855 40.40188686111701, -104.89133459030855 40.40011312719948))",[],[]
35,train,denver,label_crowdsource,40.40605999415807,-104.31466,"POLYGON ((-104.31582459030855 40.405173193862765, -104.31349540969143 40.405173193862765, -104.31349540969143 40.406946794453376, -104.31582459030855 40.406946794453376, -104.31582459030855 40.405173193862765))","[{'bbox': <POLYGON ((-104.314 40.407, -104.314 40.407, -104.314 40.407, -104.314 40.40...>}, {'bbox': <POLYGON ((-104.314 40.407, -104.314 40.406, -104.314 40.406, -104.314 40.40...>}, {'bbox': <POLYGON ((-104.314 40.406, -104.314 40.406, -104.314 40.406, -104.314 40.40...>}, {'bbox': <POLYGON ((-104.314 40.406, -104.314 40.406, -104.314 40.406, -104.314 40.40...>}]","[{'bbox': [416.61729542833075, 110.30269815458709, 426.66666666666663, 120.14933333333335], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [416.0853333333333, 122.55242998774565, 425.1275214620287, 131.62002553164825], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [415.97622322907876, 134.46390072415733, 424.96, 143.55994561012133], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [416.3436597310855, 145.97722858038, 425.18130518759, 155.41907451910313], 'bbox_mode': 0, 'category_id': 0}]"
36,train,denver,label_crowdsource,40.40884999415799,-102.37551,"POLYGON ((-102.37667459030857 40.40796323062276, -102.37434540969143 40.40796323062276, -102.37434540969143 40.40973675769321, -102.37667459030857 40.40973675769321, -102.37667459030857 40.40796323062276))",[],[]
37,train,denver,label_crowdsource,40.43324999415718,-104.803567,"POLYGON ((-104.80473159030856 40.432363552197586, -104.80240240969142 40.432363552197586, -104.80240240969142 40.43413643611677, -104.80473159030856 40.43413643611677, -104.80473159030856 40.432363552197586))",[],[]
38,train,denver,label_crowdsource,40.43845999415701,-102.37594000000004,"POLYGON ((-102.37710459030858 40.437573620882546, -102.37477540969144 40.437573620882546, -102.37477540969144 40.439346367431476, -102.37710459030858 40.439346367431476, -102.37710459030858 40.437573620882546))",[],[]
39,train,denver,label_crowdsource,40.46774999415606,-104.86979999999998,"POLYGON ((-104.87096459030855 40.46686400715765, -104.86863540969142 40.46686400715765, -104.86863540969142 40.46863598115446, -104.87096459030855 40.46863598115446, -104.87096459030855 40.46686400715765))",[],[]
40,train,denver,label_crowdsource,40.48279999415557,-104.41241999999998,"POLYGON ((-104.41358459030855 40.48191420572638, -104.41125540969144 40.48191420572638, -104.41125540969144 40.48368578258475, -104.41358459030855 40.48368578258475, -104.41358459030855 40.48191420572638))",[],[]
41,train,denver,label_crowdsource,40.53547099415387,-104.66002299999998,"POLYGON ((-104.66118759030854 40.534585901145306, -104.65885840969142 40.534585901145306, -104.65885840969142 40.53635608716243, -104.66118759030854 40.53635608716243, -104.66118759030854 40.534585901145306))","[{'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}, {'bbox': <POLYGON ((-104.659 40.536, -104.659 40.536, -104.659 40.536, -104.659 40.53...>}]","[{'bbox': [372.736, 175.104, 382.976, 185.344], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [422.91200000000003, 163.84, 433.152, 173.056], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [409.6, 162.816, 419.84000000000003, 173.056], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [422.91200000000003, 139.264, 433.152, 149.504], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [422.91200000000003, 175.104, 433.152, 185.344], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [422.91200000000003, 151.552, 433.152, 161.792], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [385.024, 175.104, 396.288, 186.368], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [386.048, 162.816, 396.288, 173.056], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [386.048, 151.552, 395.264, 161.792], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [372.736, 151.552, 382.976, 161.792], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [372.736, 162.816, 382.976, 173.056], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [409.25866666666667, 175.104, 420.5226666666667, 185.68533333333335], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [409.25866666666667, 150.86933333333334, 419.84000000000003, 161.10933333333335], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [409.55396322855984, 138.92266666666666, 419.86988764787355, 149.08571105425895], 'bbox_mode': 0, 'category_id': 0}, {'bbox': [371.712, 128.0, 384.0, 140.288], 'bbox_mode': 0, 'category_id': 0}]"
